text,cuisine
"Schnitzel sliders? Seriously, I take a pork tenderloin. Cut it into about 6 -8 chunks, flatten them out with a smooth sided meat tenderizer then bread them and fry them.",AMERICAN
"I've had similar dishes in America! Cabbage rolls are more well known - whereas, strange gelatin desserts were something you saw more in the 50s, it'd be hard to find something like galaretka otherwise today.",FRENCH
"Rabbit is a pretty lean meat to begin with. Braising will help, cacciatore.",ITALIAN
"Pasta salad. Cook a bag of macaroni, small shells, spirals, whatever type of small pasta. Let it cool and stir in some chopped tomatoes, chopped basil, chopped black olives, maybe some corn, cucumber, or capsicum if it strikes your fancy, and like 1 tablespoon of balsamic or white vinegar and 2 tablespoons of olive oil. (Depending on how much pasta you used, add more oil and vinegar in that 2 oil:1 vinegar ratio until you get the taste and consistency you like, but not too much. Recipes are a bit variable on how much oil they specify.) It lasts pretty well for at least a few days in the fridge, though the basil will quickly lose its freshness, is on the cheap side, and is great in a plastic container for lunch.",ITALIAN
Try gnudi and corn tortillas.,MEXICAN
"Yea flying with Eagles was pretty corny and now I understand why you might think I need your pity. Profession was supposed to be professed but I was on a train and listening to an audio book, so it slipped past me. My point was that if you're cooking quick and dirty, at home, bachelor style; microwaved chicken from frozen is damn good. I discovered it when I was trying to defrost it and ended up cooking it. Once I refined the process, I found the results easily comparable to anything done on the stove top, excepting for sear but we're talking about chicken here, and we're trying to not make a production out of the production, so searing isn't in context. If you're hell-bent on getting that crust, once it's cooked, get out the blow torch and put a sear on it. I've been in more than one restaurant that used this trick to get things looking nice... Anyways, have a nice day, next time your hungover and all the dishes are dirty, try microwaving some frozen chicken. If you wanna get fancy, throw some bacon and butter into the mix with some spice. One bowl, less then ten minutes. It's ugly but it taste damn good.",AMERICAN
Was going to mention tilapia. It just tastes like the stuff you cook it in.,AMERICAN
Have you tried MegaChef 30°N fish sauce?,CHINESE
I love to add a sprinkle of cinnamon when I make puttanesca,ITALIAN
"Franks is the classic, but tabasco gives it another extra layer of flavor.",AMERICAN
Mayonnaise - makes my skin crawl just thinking about it.,FRENCH
http://www.skinnytaste.com/2009/04/baked-chicken-parmesan.html?m=1 I made this parmesan chicken the other week and it was surprisingly good for how simple it was. I made chicken parmesan sandwiches with the leftovers and you can probably think of some more variations too.,ITALIAN
"also, make some pesto, then take some bell peppers, zuchini and squash slices, put under the broiler for just a little while and eat together",ITALIAN
"undersalt recipes... that seems to be the solution to america's problem of over-salted foods. It's darn near impossible to buy foods that are light on salt, let alone salt free. It was weird when we started cooking our own food and suddenly we actually started salting things.",AMERICAN
"I'm from California and when I make scrambled eggs I use a little oil and cook them all the way thru, although I do like the taste of the creamy scrambled eggs as well just not my preference.",AMERICAN
"https://www.seriouseats.com/2015/10/how-to-cook-shrimp-grill-poach-stir-fry-saute.html Once shelled and deveined put them in a baking soda and salt brine for 15-60min, then dry with paper towels before cooking. Use high heat and cooked until pink on outside and just turning opaque down the back (where the vein was). Cook up 1 or 2 first to test when to look for, you don't want overcooked shrimp.",INDIAN
"Souffles are dead easy in my experience. The only real trick is having the dish and the diner at the table at the same time, which is solved by artichokes first. The souffle can be assembled an hour or so before baking. In every case, one should avoid making a dish for the first time for a guest, but OP is ""an adept home cook"", so probably has made a souffle before. If not, then another dish would be a better choice.",FRENCH
"I think you need some middle east or asian ""accents"". With respect, the menu sounds a bit 1980s. So for the cheese, try halloumi. Also you are offering 7 dishes but only one meat (chicken) dish, and no seafood; I reduce to 5 (3 salad/pasta, 2 mains) and maybe add a simple dessert. Another tip is hand made chocolates to accompany coffee, which are trivially easy - melt chocolate &amp; pour into a mold. Can be done days before and guests will think you are a genius. Hint: buy marked down goods at the supermarket, you will get to try all sorts of things out of your comfort zone.",INDIAN
"Are you Cantonese, OP?",CHINESE
"It's just a pork sausage made with a much (much) higher percentage of fat, and various spices (such as paprika).",MEXICAN
Turn any prime rib left over into a grilled steak sandwich.,AMERICAN
Laura Calder who hosted (or maybe still hosts? I don't know if that show is still on) French Food at Home made Frenchified popcorn with herbes de provence and garlic butter. I've made it a few times and it is delicious!,FRENCH
"Make Chicken Broccoli Alfredo! Alfredo is quick and easy to make. And if you don't want to make it, buy your favorite jarred kind. Slice up the chicken, cook it, and steam your broocoli (or cook it with the pasta...that would work, right?) and toss it all together. Add some red pepper flakes for good measure. Yum stuff.",ITALIAN
"This might sound strange but tteokbokki (spicy korean rice cakes) are surprisingly cheap if you make them from scratch. By either buying rice flour or processing your own the process doesn’t take too long and can be easily kept for a long time in the freezer. Plenty of recipes online on how to make them, and just cook them in a sauce mainly consisting of gochujang, and add some vegetables to your liking (onion, cabbage, zucchini etc.)",JAPANESE
My Italian mom and nonna just rattled from beyond the grave.,ITALIAN
"Wait, does he not know you did this? Honestly, this would be a disaster for me. Yes, spices do lose their potency over time but I have a mental timeline of how old my spices are and use more than a recipe calls for if i know something is old. And I also have a mental list of what spices I own. You'd better be prepared to make a lot of quick runs to the store with no notice, for when he discovers that you threw out something that he needs to use *right now* because he had no idea he no longer owns a bottle of spanish paprika. Be prepared for your husband to be pissed about this. I know I would be.",INDIAN
Tabasco brand soy sauce is my favorite.,JAPANESE
"> There is almost no benefit to making your own sauce, buy a nice fresh jarred one and use that. Making your own tomato sauce from canned tomatoes, basil, oregano, and olive oil is ridiculously simple and quick. Since he's making multiple pizzas, it's definitely worth it to make the sauce in a saucepan. The jarred sauces are unnecessarily sugary and salty. Edit: You can also dip the finished pizza into any leftover sauce.",ITALIAN
"With wild salmon, it should actually be less fishy than farmed. It's less fatty because it has to fight its way upstream. That might be part of the reason.",AMERICAN
pork belly is fine --- bacon is just salted pork belly.,AMERICAN
Cheese + mustard is pretty solid (certain cheeses need not apply),FRENCH
That's my daily food porn itch done for the day.,AMERICAN
"Scoville scale exists for a reason. In all seriousness though, I underestimate how spicy peppers are my self so I can’t really say anything.",INDIAN
"It was an Ivy League school, too. Apparently when the school served a hot cereal, they put out jam and brown sugar and cinnamon, etc., and they did the same for grits. Apparently nobody liked grits, *I wonder why*.",AMERICAN
"I have their set with copper on the bottom, love them. Have had them 10+ years.",AMERICAN
Sesame oil is amazing. Totally changed my fried rice.,INDIAN
Make a meyer lemon shrub! I did this with my home-grown meyer lemons last year. I didn't really like the recipe I used so I don't have a particular one to link to but you can google around. I plan to try again this year when the new batch of lemons ripen (I have a whole bunch of hopeful looking green ones right now). Key is to use high quality vinegar.,AMERICAN
"Just made it last night. I had my wife taste it and went to work on something else, a few minutes later she's still just nibbling away! That fried rice is *really* good. I can't wait to try again.",CHINESE
Are you grilling or pan frying the steaks?,AMERICAN
"This is great. I can hardly wait to try it. I grew up on Cantonese style american Chinese food in New York in the '1950s and in the Early 1960's in Florida. My first unchaperoned date in 1967 we went to a Cantonese restaurant. By the 1980's they were almost all gone. Now in Florida there are a bunch of ""New York Style"" Chinese restaurants that used prepackaged ingredients. The won tons are thicker than Lasagna noodles and are rubbery the food is awful.",CHINESE
And Trix went from spheres to fruit shape and back again.,AMERICAN
"Jeffrey Steingarten called Ketchup the ""American Mother Sauce"". I have to agree.",AMERICAN
"Apple sauce coconut and walnuts arent essential, I would just google any recipe and shred an entire bag of carrots. Enough that the cake part just wets the carrots enough to hold them together. I also double the ginger cinnamon and allspice amf vanilla . Idk how brown sugar and creamcheese would work as an icing, maybe melt the brown sugar w butter and fold it in? From personal exp the icing will be grainy without confectionary sugar.",AMERICAN
How an ingredient traditionally used in one ethnic cuisine can blend seamlessly with another from a separate corner of the world. Was throwing some things together and realized I accidentally made Cajun; it was delicious though.,AMERICAN
Arroz con leche.,MEXICAN
Chicken breast seasoned with garlic powder and salt. Cooked in a pan with lots of oil with a side of salad ( cucumber tomato lettuce with oregano Italian spices pepper and lime juice amd olive oil ) and sweet potatoes,ITALIAN
I would go plain salt pepper rosemary and work on different pan sauces to accompany it. Keep the chicken tasteful juicy and chickeny and leave all the excitement to the sauce,ITALIAN
Funyuns. The factory's most perfect non-food.,AMERICAN
"Puff pastry. Caramelised Onion Jam. Fresh Figs. The ripest, strongest blue cheese you can find. Sunflower Seeds. Parma Ham. &amp;#x200B; Rectangle of puff pastry. Spread the cold jam over the top, leaving a lip on all edges. Wash and quarter the figs and layer skin side down in a swirl pattern. Crumble over the blue cheese. Egg wash the edges of the pastry. Preheat oven to its hottest temperature with a thick baking tray inside. Place your tart on a sheet of greaseproof paper. In the oven on the preheated tray and turn to oven down to 200 Celsius. Bake for 20 minutes or so. Rip the ham into large shreds and layer over the tart and allow to render for 1 minute.",FRENCH
my favorite was the thousand year old egg I was like ... mmm I want some congee right now.,CHINESE
"Olive oil generally has a low smoke point, so cooking with it isn't the best idea. Rapeseed is high in omega-6s, but are getting a bad reputation these days. I personally wouldn't touch it.",CHINESE
Whole wheat pasta has a very different consistency but when I tried the cold pan method with normal pasta it was way mushy.,ITALIAN
"I was planning pasta with spinach/tomatoes and asparagus, ate too much this afternoon, so I'm going to downscale it to just the asparagus, spinach a poached egg and perhaps a little sprinkle of soft goat's cheese.",ITALIAN
Philippines- Adobo,AMERICAN
They are pretty spot on when made with bisquick,AMERICAN
"I’m with you on the lasagna. My friends always want me to make my special lasagna but it requires a bechamel, three meat ragu, chicken livers, and it’s an entire day of cooking. By the time it’s done I’m too exhausted to enjoy it myself.",ITALIAN
"Eyeball is one that makes me squeamish too. I'm also not sure I could ever eat balut. I've eaten several things that most americans would think is unusual or exotic, beef heart, tripe, head cheese, and other offal. Probably the weirdest I can remember though is when I was 6 or 7 years old, I went on a trip to the Amazon and while there I ate ant cookies. Basically just sugar cookies with ants baked into them. (On purpose.) I think I'd be more squeamish about that now than I was back then!",MEXICAN
"It's an Amish recipe, and they *know* how to make their bread. Don't knock it till you've tried it edit: I did make pancakes actually, about an hour later",AMERICAN
Do you have any thoughts on using the pre-made package of fenzhengrou rice powder from the supermarket? This is the brand that I can find in my supermarket. https://tomatointribeca.wordpress.com/tag/zheng-rou-fen/,CHINESE
">I don't care what Texans say Yeah, all they did was invent and perfect the dish. Chili doesn't have beans. If you put beans in it, you've created some other, inferior, dish.",AMERICAN
Beets. Also brazil nuts,MEXICAN
somehow it must be injected into donuts! BaconCaramelDonutExplosion,AMERICAN
"Rice, Lentils, dried chickpeas, etc spices perhaps, if you use a lot?",INDIAN
"Add finely diced carrot to the onion, garlic and pepper you sautee in the beginning. Sautee those aromatics in bacon fat. I also like to add unsweetened cocoa powder, use half as much as you use of the paprika.",AMERICAN
"Probably because if you visited a lot of different places and interacted with different people it's more likely you'd have overheard someone using the word ""tofu"" to describe that food",JAPANESE
I really love the combination of garlic salt and cajun.,AMERICAN
Got mine at the link below. I love it. I place the tofu in and press snug with my hand while tighten the screws. I then do three half terns on the secrews once there is resistance. More and the tofu might break. If you want the firmest texture you can give another three half terns after ten minutes. Total pressing time for me is fifteen minutes. http://www.amazon.com/gp/aw/d/B00507GC96/ref=mp_s_a_1_1?qid=1436751144&amp;sr=8-1&amp;pi=AC_SY200_QL40&amp;keywords=Tofu+Presser&amp;dpPl=1&amp;dpID=413Y5s6d2FL,JAPANESE
The father sauces aren't nearly as popular.,FRENCH
"As others have said, lower the heat. My additional tip: stale bread. Stale bread will take up the egg/milk mixture and create a wonderful texture in the end. My favorite recipe: http://www.foodnetwork.com/recipes/alton-brown/french-toast-recipe.html Yes, it takes 2 rounds of cooking, one in the pan and again in the oven, but the outcome is so much better than regular old white bread that turns soggy via the ""quick and dirty"" method.",FRENCH
"Ah yeah now I get it, I read over your replies and was confused as fuck, so you're a Maltese American from the American South. Take it easy :)",AMERICAN
Kalamata olives,ITALIAN
Finland. Makaroonilaatikko. Just a humble but filling dish.,FRENCH
"Skim the excess fat off, add tequila and reduce",MEXICAN
Missouri: Moon pie &amp; RC Cola,AMERICAN
"My mom put crushed pineapple in her sweet potato casserole, also smoothies or ice cream topping.",AMERICAN
Did somebody say lasagna?,ITALIAN
"I usually use a porter instead of warm water, but same effect. Used to make good chili, but now I make great chili toasting dried chiles and making a paste like this.",ITALIAN
I brined my turkey one year with a recipe that called for apple juice. Subbed in cran apple because it was all I had. Ended up with a pink fully cooked turkey.,AMERICAN
"We do grilled chicken salads all the time. I usually use a somewhat italian marinade. I just dump stuff in so I can't give you exact but I like to use: Balsamic Vinegar EVOO Soy Sauce Garlic Powder Oregano Pepper And then optionally, fish sauce and red pepper flakes",AMERICAN
