text,meta/source,_input_hash,_task_hash,options/0/id,options/0/text,options/1/id,options/1/text,options/2/id,options/2/text,options/3/id,options/3/text,options/4/id,options/4/text,options/5/id,options/5/text,options/6/id,options/6/text,_view_id,config/choice_style,answer,_timestamp,_annotator_id,_session_id,accept/0
"That makes a lot of sense compared to other meats like pork and beef. I usually only see leg, chops, and rack of lamb in the grocery store, so I guess I'll have to check out my butcher for the shoulder.",homework2-DSBA6188-UNCC,-941515806,-1510546991,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901008,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Given the state of research on diet, it's hard to say how much you should care about the recipe using butter vs olive oil, but either way, the quantity sounds excessive. Partly because congealed butter on top sounds unappetizing and wasteful. I'd suggest reducing both the butter and sugar (although you still want it to coat the sweet potatoes, to protect it from drying out too much), but cooking it longer and lower at first, possibly covered, to help bring out the natural sweetness of the sweet potatoes and make them soft enough. Roasting sweet potatoes slowly can get you an almost candylike result without any added sugar, whereas cooking them quickly in the microwave always gives a blander, starchier result. That said, this sounds like a holiday recipe, and it's best not to try to force holiday recipes to change.",homework2-DSBA6188-UNCC,-513829723,-171573987,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901084,2024-03-19_22-06-52,2024-03-19_22-06-52,MEXICAN
"How the hell did they chip it up like that cutting a pizza?!? In any case, ouch!! I guess its time to send it to Shun for sharpening. I'm sure they've seen worse. https://shun.kaiusaltd.com/warranty",homework2-DSBA6188-UNCC,886066068,-1983570730,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901093,2024-03-19_22-06-52,2024-03-19_22-06-52,ITALIAN
"In my opinion, unless your Vietnamese Grandma is gonna cook all day, the best way to eat pho is at a restaurant (hint: They all do takeout and its just as good, they serve all the components separately, and you make it yourself, get a large and its two meals). Making real pho broth takes many hours and many ingredients, its best done in large batches due to the cost and effort, but for a home cook, that sucks. Other than the broth, getting the noodles, veggies, meats/tendon/meatballs/tripe, and sauces is easy, but without the real broth its not quite the same However, one workaround... chicken pho! Just use low sodium chicken broth as your base, and put together your pho ingredients to your liking, and have it that way. Yes chicken pho is a normal traditional dish too, though personally, i do prefer the beef.",homework2-DSBA6188-UNCC,-16880788,-1303149567,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901104,2024-03-19_22-06-52,2024-03-19_22-06-52,CHINESE
"Check out the handles on All-Clad. Some people hate the handles. Other are fine with them. The handles dig into my palm in a way I don't like. It's personal, so the only way to know is to try out in the store a long handled fry pan to see how it feels to you.",homework2-DSBA6188-UNCC,-1837533255,-1821285103,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901112,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Mix equal parts olive oil, balsamic vinegar, and some sort of mustard (I go with Dijon) and dip with bread. 7/7",homework2-DSBA6188-UNCC,-1007916446,-1708037316,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901164,2024-03-19_22-06-52,2024-03-19_22-06-52,FRENCH
Not gonna lie. Shoyu just doesn't do it for me no more.,homework2-DSBA6188-UNCC,-701354210,-652339029,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901194,2024-03-19_22-06-52,2024-03-19_22-06-52,JAPANESE
"I tried so many all-butter chocolate chip cookie recipes because I assumed butter was just a superior ingredient to use, because, like you said, it gives better flavor. But I was just not pleased with the texture of any of them. Finally I had some cookies that my MIL made and they were delicious, the exact texture I wanted. I asked her for the recipe and sure enough, a butter/shortening mix.",homework2-DSBA6188-UNCC,1790901589,861188311,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901228,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
"I am a bit old fashioned. If i find a good recipe that i want to keep, then i write it in my recipe book. Most things you don't make again if it wasn't a real hit. So no point in just collecting.",homework2-DSBA6188-UNCC,-1725138410,70294649,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901238,2024-03-19_22-06-52,2024-03-19_22-06-52,
"I feel like this question is more ""what staples do i buy"". I would suggest buying 1 new 'pantry' item every time you make a dish. If i had to 'limit' my pantry, the must haves would be.. roughly in this order.. Salt, cayenne, cumin, flour, baking powder, thyme, Italian seasoning, black pepper, garlic powder, brown/white sugar, whole canned tomatoes, chicken broth, beef consomme... That should give you a jump start on making tacos, french onion soup, spaghetti, most importantly several different variations of the same ""meat in pan, sauce and veggies, starch on side"" one pan meals, chicken wings, and lots of baked goods",homework2-DSBA6188-UNCC,1150260226,-1207469977,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901344,2024-03-19_22-06-52,2024-03-19_22-06-52,ITALIAN
Or* you could leave the skin because it's the best damn part of the chicken.,homework2-DSBA6188-UNCC,-134735843,943259368,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901353,2024-03-19_22-06-52,2024-03-19_22-06-52,
"A friend and I do in-home dining experiences. It's a mix of catering and private chef. Essentially we do wine-paired, multi-course dinners for people.",homework2-DSBA6188-UNCC,2143485758,154991118,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901361,2024-03-19_22-06-52,2024-03-19_22-06-52,
I'm more worried about my wife throwing away a cutting board because she sees me putting chicken on it!,homework2-DSBA6188-UNCC,920420406,-898444686,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901364,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Not from my mother, she cant cook worth a shit, but my grandmother taught me all about the miracle that is lard. Real lard. Its truly a miraculous substance",homework2-DSBA6188-UNCC,97137510,-502641358,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901369,2024-03-19_22-06-52,2024-03-19_22-06-52,
I think it's under new management.,homework2-DSBA6188-UNCC,478367616,-166192955,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901371,2024-03-19_22-06-52,2024-03-19_22-06-52,
"If I'm making gravy by deglazing the pan with a broth of some sort or some wine, I'll make a ""slurry"" of a couple of teaspoons of oil mixed with a couple of teaspoons of flour and mix that in, a spoon at a time. That thickens everything nicely without making glue. It works better than using water. Basically, if I'm making a sauce using a hot roux, i'll use a cold liquid. If I'm making a sauce with a hot liquid, I'll use a cold roux (also works well for thickening stews). That rule has never failed me.",homework2-DSBA6188-UNCC,436730431,-109820570,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901410,2024-03-19_22-06-52,2024-03-19_22-06-52,FRENCH
Just make a garlic+olive oil+butter sauce and you will love any veggie in the world :D,homework2-DSBA6188-UNCC,-487547887,-600335132,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901447,2024-03-19_22-06-52,2024-03-19_22-06-52,ITALIAN
Jesus. Tell me you've taken over cooking in your household.,homework2-DSBA6188-UNCC,-1030944333,-808015943,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901450,2024-03-19_22-06-52,2024-03-19_22-06-52,
"The only way to get them sharp is by grinding the bevels and edge back in. Keep working on it. Out of curiosity, where were the knives all made?",homework2-DSBA6188-UNCC,-1622190645,-1173041235,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901453,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Some knife companies I believe have lifetime sharpening guarantees. Mostly because nobody follows through with those offers. You could practice on a cheaper knife first and see how you do and if it seems too hard there are companies that you can pay to sharpen them. I'm a big try it yourself before you pay someone else kinda person though,",homework2-DSBA6188-UNCC,-1619223430,1509438705,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901455,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Red beans and rice. White rice, kidney beans, celery, bell pepper, and onions are all cheap. Besides that all you need is salt and you can buy packets of ham seasoning if you don’t want to spend money on meat. You can make very large portions that last a while. Bell pepper is the most expensive thing on here and you could not include it if you want. Edit: and you need some cooking oil but I’m assuming you have that!",homework2-DSBA6188-UNCC,-1373581182,160666376,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901495,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
"As someone who cooks mostly Latin-American/Brazillian, I have way more use for limes. Plus, I can't live without ceviche.",homework2-DSBA6188-UNCC,-1004977224,1415549889,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901522,2024-03-19_22-06-52,2024-03-19_22-06-52,MEXICAN
"Is there a financial reason bloggers do this? I've been toying with the idea of starting a recipe blog, but I *loathe* having to scroll eight pages to get to the goddamn recipe. Do people actually *like* reading the irrelevant crap? Why does every blogger do it if everyone finds it annoying? Are we the weird ones, and the vast majority of readers enjoy that stuff?",homework2-DSBA6188-UNCC,-1775210187,1734168963,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901530,2024-03-19_22-06-52,2024-03-19_22-06-52,
Perfect!,homework2-DSBA6188-UNCC,-57375872,-1745605128,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901531,2024-03-19_22-06-52,2024-03-19_22-06-52,
"I mean, I eat it at least once a week but I don't know anyone else who eats it at all.",homework2-DSBA6188-UNCC,1021977531,1027416274,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901533,2024-03-19_22-06-52,2024-03-19_22-06-52,
"I've heard complaints that modern crock pots cook much hotter than older models, resulting in dry tough meats even on low settings.",homework2-DSBA6188-UNCC,-193464250,475773142,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901536,2024-03-19_22-06-52,2024-03-19_22-06-52,
"I use mine almost daily. - hard/soft boiled eggs - stocks , soups , chili, stews - bone in chicken (SO . JUICY. No brine ) in 15 min - tough cuts of meat - rice and chicken if my dogs are sick lol - curry dishes",homework2-DSBA6188-UNCC,-1842245540,-2131454127,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901656,2024-03-19_22-06-52,2024-03-19_22-06-52,CHINESE
"Tell her if she wants her stuffing, she should host the dinner.",homework2-DSBA6188-UNCC,2077621669,888046205,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901659,2024-03-19_22-06-52,2024-03-19_22-06-52,
thats interesting...thanks for the insightful reply!,homework2-DSBA6188-UNCC,146320314,-195189239,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901663,2024-03-19_22-06-52,2024-03-19_22-06-52,
Ferment some of them with addition of cinnamon. Your mind will be blown:),homework2-DSBA6188-UNCC,-1154347933,792682174,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901668,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Pizza is one of those weird dishes that is an ""ethnic"" food in so many different places. I would say that some pizzas, like New York-, Chicago-, or Detroit-style, to name a few are definitely american ethnic food.",homework2-DSBA6188-UNCC,89451331,-768257406,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901674,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
"ME COOK GOOD. WOMAN STAY OUT OF KITCHEN. JK, I know about 20 dishes by heart and can improvise, my roomies can make uhhh mac and cheese. #winning.",homework2-DSBA6188-UNCC,-1882857367,-1323732265,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901681,2024-03-19_22-06-52,2024-03-19_22-06-52,ITALIAN
You can significantly reduce the risk of botulism by drying the garlic and heating the oil. Using dry garlic will also remove the water that is necessary for bacteria to grow.,homework2-DSBA6188-UNCC,846507532,1992608338,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901687,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Carbs are cheap. If you plan on replacing carbs in your diet with protein and fat, then you may need come to terms with spending a little bit more on food. That said, if your carb sources come from processed foods like store bought chips, breads, and cereal, then buying fresh, low carb ingredients may not cost more. Just remember that spending a bit more on food is worth it in the long run if you can avoid developing diabetes. How restricted are you going to go with carbs? I mean, if you're going keto, then your options will be severely limitted to pretty much meat, cheese, berries, and non-starchy vegetables, but if you can afford 100+ g carbs per day then starchy vegetables, fruits, and whole grains become easier to include. The latter foods are much cheaper than the former, and you'll spend less. Source: I did keto for a few months. My food bills rose about 40%. I'm less restrictive with carbs now.",homework2-DSBA6188-UNCC,144350900,-2015310303,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901710,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Exactly. I know people who insist that it is easier, but I just don't see it. My roommate's turned out exactly the way you just described, with the added bonus of very hard, dry yolks -_- And one of them exploded in the oven!",homework2-DSBA6188-UNCC,-2027200393,2077893543,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901719,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Everyone has their own recipe for sauce. My father's is different than mine, my uncle's, or my mother-in-law's. I grow a lot of tomatoes every summer, so I have a tendency to only make sauce in August/September in huge batches, and then freeze manageable portions in ziplock freezer bags. Fresh tomatoes make all the difference. While there are quality canned tomatoes out there, I prefer to use my own whenever possible. When I want pasta in January, it is as easy as thawing a bag of sauce and bringing it back to a simmer on the stove top. I blanch the fresh tomatoes to make skin removal easy, then I cut them open and deseed them. I always deseed into a screened strainer so I can catch the seeds, but retain the liquid that holds them (lots of flavor). I always use fresh herbs and garlic whenever possible (which is always). I like onions and celery in mine (2 med onion, 2 ribs of celery). I mince them rough and start them over low heat with kosher salt to sweat them soft. Once they are half way there I add several rough chopped cloves of garlic. Now I add my tomato paste to the pan and allow it to caramelize. This adds a depth of flavor to the sauce you can only get in this step. Deglaze the pan with a 1/2 cup of dry white wine and add the tomatoes. I use about 2-3 dozen or so depending on the size. Now add fresh herbs (basil, oregano, parsley (flat leaf), and bay leaf). Bring it to a simmer and let it cook for 90-120 minutes. A trick I learned from AB is to use a tsp of baking soda instead of sugar to balance the acid. A small quantity of baking soda will lower the acidity of the sauce, balancing the flavors and allowing the natural sweetness of the tomatoes to shine through. I usually add the baking soda about 1/2 way through the process.",homework2-DSBA6188-UNCC,204160723,-366237386,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901825,2024-03-19_22-06-52,2024-03-19_22-06-52,ITALIAN
"Start with some water, then try a couple crackers, give up, go right to pedialight keep it down for a whil, then add some advil later cheep sunglasses and caffeine call it good!",homework2-DSBA6188-UNCC,1990654066,2059528508,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901836,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Reseason with what oil, how high heat and how many times? Sorry if that’s too many questions, I’m a little confused. Also, do I only scrub the part I’ll be cooking on, or the entire pan?",homework2-DSBA6188-UNCC,-2064930128,-539843702,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901840,2024-03-19_22-06-52,2024-03-19_22-06-52,
> Quinoa in everything. Trader Joes now sells a pesto with quinoa that looks really unappetizing. Why ruin an already good thing.,homework2-DSBA6188-UNCC,1104559522,-1284917320,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901871,2024-03-19_22-06-52,2024-03-19_22-06-52,MEXICAN
"Schnitzel sliders? Seriously, I take a pork tenderloin. Cut it into about 6 -8 chunks, flatten them out with a smooth sided meat tenderizer then bread them and fry them.",homework2-DSBA6188-UNCC,2125258497,-574119402,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901908,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
I find having the eggs and milk at room temperature is extremely important to ensuring a fluffy end product. :),homework2-DSBA6188-UNCC,-866495447,472772653,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901911,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Once the stock has reached boiling point, I turn it right down in order to simmer. Still gives me that awful boiled taste.",homework2-DSBA6188-UNCC,758208855,-228760231,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710901916,2024-03-19_22-06-52,2024-03-19_22-06-52,
"I've had similar dishes in America! Cabbage rolls are more well known - whereas, strange gelatin desserts were something you saw more in the 50s, it'd be hard to find something like galaretka otherwise today.",homework2-DSBA6188-UNCC,-1254931787,-1170295952,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710901968,2024-03-19_22-06-52,2024-03-19_22-06-52,FRENCH
"Rabbit is a pretty lean meat to begin with. Braising will help, cacciatore.",homework2-DSBA6188-UNCC,-1487497356,-711852870,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710902006,2024-03-19_22-06-52,2024-03-19_22-06-52,ITALIAN
"Well into my 30s for me. I blame recipes for this. ""medium-high"" is so subjective. Kinda goes in hand with the ""brown onions for 3-5 minutes"".",homework2-DSBA6188-UNCC,-469620522,752356890,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710902009,2024-03-19_22-06-52,2024-03-19_22-06-52,
